Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-VerifyLogin,Chrome 63.0.3239.132,,2018-01-10 23:12:36,2018-01-10 23:16:27,3m - 50.558s,PASSED
,,,,,,
Test Cases/Login/VT-Login/VT-VerifyLogin - Iteration 1,Chrome 63.0.3239.132,,2018-01-10 23:12:38,2018-01-10 23:14:11,1m - 33.211s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-10 23:12:40,2018-01-10 23:13:44,1m - 4.476s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:13:44,2018-01-10 23:13:46,2.057s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-10 23:13:46,2018-01-10 23:13:47,1.203s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-10 23:13:47,2018-01-10 23:13:58,10.286s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:13:58,2018-01-10 23:14:00,2.005s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:14:00,2018-01-10 23:14:01,0.882s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:01,2018-01-10 23:14:02,1.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:14:02,2018-01-10 23:14:02,0.334s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:02,2018-01-10 23:14:04,2.005s,PASSED
click,Chrome 63.0.3239.132,,2018-01-10 23:14:04,2018-01-10 23:14:07,3.110s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-10 23:14:07,2018-01-10 23:14:09,1.714s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:09,2018-01-10 23:14:11,2.003s,PASSED
,,,,,,
Test Cases/Login/VT-Login/VT-VerifyLogin - Iteration 2,Chrome 63.0.3239.132,,2018-01-10 23:14:11,2018-01-10 23:14:46,35.392s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-10 23:14:11,2018-01-10 23:14:18,6.815s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:18,2018-01-10 23:14:20,2.004s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-10 23:14:20,2018-01-10 23:14:21,1.136s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-10 23:14:21,2018-01-10 23:14:30,9.501s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:30,2018-01-10 23:14:32,2.006s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:14:32,2018-01-10 23:14:33,0.292s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:33,2018-01-10 23:14:34,1.005s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:14:34,2018-01-10 23:14:34,0.247s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:34,2018-01-10 23:14:36,2.005s,PASSED
click,Chrome 63.0.3239.132,,2018-01-10 23:14:36,2018-01-10 23:14:43,7.374s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-10 23:14:43,2018-01-10 23:14:44,0.848s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:44,2018-01-10 23:14:46,2.009s,PASSED
,,,,,,
Test Cases/Login/VT-Login/VT-VerifyLogin - Iteration 3,Chrome 63.0.3239.132,,2018-01-10 23:14:46,2018-01-10 23:15:19,33.074s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-10 23:14:46,2018-01-10 23:14:52,5.278s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:14:52,2018-01-10 23:14:54,2.003s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-10 23:14:54,2018-01-10 23:14:55,1.142s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-10 23:14:55,2018-01-10 23:15:09,14.160s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:09,2018-01-10 23:15:11,2.003s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:15:11,2018-01-10 23:15:11,0.339s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:11,2018-01-10 23:15:12,1.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:15:12,2018-01-10 23:15:13,0.363s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:13,2018-01-10 23:15:15,2.002s,PASSED
click,Chrome 63.0.3239.132,,2018-01-10 23:15:15,2018-01-10 23:15:17,2.112s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-10 23:15:17,2018-01-10 23:15:17,0.632s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:17,2018-01-10 23:15:19,2.003s,PASSED
,,,,,,
Test Cases/Login/VT-Login/VT-VerifyLogin - Iteration 4,Chrome 63.0.3239.132,,2018-01-10 23:15:19,2018-01-10 23:16:24,1m - 4.797s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-10 23:15:20,2018-01-10 23:15:27,7.053s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:27,2018-01-10 23:15:29,2.005s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-10 23:15:29,2018-01-10 23:15:30,1.159s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-10 23:15:30,2018-01-10 23:15:42,11.790s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:42,2018-01-10 23:15:44,2.003s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:15:44,2018-01-10 23:15:44,0.433s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:44,2018-01-10 23:15:45,1.002s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-10 23:15:45,2018-01-10 23:15:45,0.542s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:15:45,2018-01-10 23:15:48,2.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-10 23:15:48,2018-01-10 23:16:21,33.964s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-10 23:16:21,2018-01-10 23:16:22,0.786s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-10 23:16:22,2018-01-10 23:16:24,2.002s,PASSED
